Item,TAUSTE,BARBOSA,CONFIANÇA,MERCADO LIVRE,COOP SUPERMERCADO,TENDA ATACADO
Arroz 5kg,21.9,23.99,21.9,24.19,23.99,19.4
Feijão 1kg,5.55,4.99,5.39,6.49,4.79,3.85
Macarrão 500g,2.97,2.79,2.98,4.19,3.89,2.09
Óleo 900ml,7.18,7.49,6.97,6.93,7.99,7.25
Açúcar 5kg,17.49,24.95,17.49,18.9,24.99,16.49
Leite Integral 1L,4.95,4.99,4.98,5.99,4.99,4.69
Pão de Forma 500g,6.86,6.99,6.86,8.74,6.99,4.99
Café 500g,25.9,28.99,24.9,8.0,23.99,26.5
Sabão em Pó 1kg,6.37,7.99,4.79,6.09,9.29,3.7
Detergente Líquido 500ml,1.79,2.19,1.69,2.99,1.79,2.05
